상품코드,상품명,공급가,판매가,재고수량,배송비,배송예정일,진열상태,판매상태
P1001,오가닉 코튼 반팔 티셔츠,15000,29000,42,3000,출고 후 1~2일,진열,판매중
P1002,데일리 캔버스 에코백,8000,18000,15,3000,출고 후 1~2일,진열,판매중
P1003,린넨 와이드 팬츠,26000,54000,8,3000,출고 후 1~2일,진열,판매중
P1004,미니멀 메탈 시계,51000,89000,5,3000,출고 후 1~2일,진열,판매중
P1005,세라믹 머그컵,7000,16000,30,3000,출고 후 1~2일,진열,판매중
P1006,프리미엄 수건 세트,17000,32000,20,3000,출고 후 1~2일,진열,판매중
P1007,빈티지 데님 재킷,55000,98000,0,3000,출고 후 1~2일,진열,품절
P1008,베이직 양말 5족 세트,5000,12000,100,3000,출고 후 1~2일,진열,판매중
P1009,핸드메이드 가죽 카드지갑,23000,45000,0,3000,주문 후 제작 5일 소요,진열,판매중
P1010,아로마 디퓨저,12000,27000,12,3000,출고 후 1~2일,진열,판매중
